"File","Timestamp","HPAReplicas","Target","DeployLine"
"49-hpa-timeline-1.txt","2026-03-03T13:21:24.3441779-05:00","6","cpu:","model-server   2/2     2            2           5h23m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-2.txt","2026-03-03T13:21:39.8069454-05:00","6","cpu:","model-server   2/2     2            2           5h24m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-3.txt","2026-03-03T13:21:55.1631521-05:00","6","cpu:","model-server   2/2     2            2           5h24m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-4.txt","2026-03-03T13:22:10.5379087-05:00","6","cpu:","model-server   2/4     4            2           5h24m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-5.txt","2026-03-03T13:22:25.8766366-05:00","6","cpu:","model-server   4/6     6            4           5h24m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-6.txt","2026-03-03T13:22:41.2264020-05:00","6","cpu:","model-server   6/6     6            6           5h25m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-7.txt","2026-03-03T13:22:56.6072762-05:00","6","cpu:","model-server   6/6     6            6           5h25m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-8.txt","2026-03-03T13:23:11.9918988-05:00","6","cpu:","model-server   6/6     6            6           5h25m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-9.txt","2026-03-03T13:23:27.5483021-05:00","6","cpu:","model-server   6/6     6            6           5h25m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-10.txt","2026-03-03T13:23:42.9155046-05:00","6","cpu:","model-server   6/6     6            6           5h26m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-11.txt","2026-03-03T13:23:58.3825548-05:00","6","cpu:","model-server   6/6     6            6           5h26m   model-server   fastapi-model-server:0.1.1   app=model-server"
"49-hpa-timeline-12.txt","2026-03-03T13:24:13.7408280-05:00","6","cpu:","model-server   6/6     6            6           5h26m   model-server   fastapi-model-server:0.1.1   app=model-server"
